reftramo,geom,idcalle,nombre,tipo_vialidad,fuente,localidad,departamento
801769,0105000020D17F000001000000010200000004000000C14C004830E12141CC046734916F57414C9D83DA2EE12141C361D232956F57419A86DB3732E12141205832CA996F57413A6A896C36E12141376144C49E6F5741,10464,CAMINO SERVANDO GOMEZ,CALLE,INTENDENCIA_DE_MONTEVIDEO,MONTEVIDEO,MONTEVIDEO
740246,0105000020D17F00000100000001020000000200000076ECED2225C121415281D08D266C57410A8F5EBEFFC0214167F4B1322E6C5741,70108,UYMOMVD_SN_227,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740247,0105000020D17F000001000000010200000002000000D20ABB5212C121410C694E11256C5741A5575B6AECC021415EBFDAA82C6C5741,70109,UYMOMVD_SN_812,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740248,0105000020D17F000001000000010200000003000000E420E69C26C12141693F8D7BE26B574155713B9946C121417F058649E56B57413E534C14AEC12141EC154B11EE6B5741,70110,UYMOMVD_SN_1425,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740249,0105000020D17F00000100000001020000000400000086F0B072C7C0214122E55E8DF46B5741B1874368EEC0214114B19A9FF76B574141047832EAC021418F093CBBF86B57418A88F0BA18C1214100D0937FFC6B5741,70111,UYMOMVD_SN_502,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740250,0105000020D17F000001000000010200000003000000B1874368EEC0214114B19A9FF76B574160FA6BBAF2C0214188EAF8D1F66B5741AB4414E230C121417BFD65FCFB6B5741,70111,UYMOMVD_SN_502,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740252,0105000020D17F000001000000010200000003000000A4680A0C2BBF214169184BBD346C5741FF513D0308BF21418B91628F326C5741469CF529A8BE2141EB3F8E702C6C5741,70113,UYMOMVD_SN_1266,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740253,0105000020D17F0000010000000102000000030000006642B5D84EBF2141D704220D2E6C5741D5056ACD64BF21416E1657AF2F6C574138B546DF7EBF21419F4283D5316C5741,70114,UYMOMVD_SN_496,CALLE INTERNA,IDE,MONTEVIDEO,MONTEVIDEO
740254,0105000020D17F00000100000001020000000700000095AC152D10BC2141E4D64889F16C57411BE63CCA06BC2141044B32E9F56C574163A86303FBBB214196333FADF96C57411A368EB3F1BB2141968DC7CAFC6C57411AF66508EABB214172469420FE6C5741AE2A6291E7BB2141965B3878FE6C5741F13B7667DDBB2141ED98DFDB086D5741,70115,UYMOMVD_SN_1148,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740255,0105000020D17F000001000000010200000004000000996CB9A818BC2141E90335BCF16C5741D2B330D223BC21414C3552EDEE6C5741D423F9966EBC214127A8C234E06C5741434FB98E7CBC214170B2760EDD6C5741,70116,UYMOMVD_SN_288,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
740256,0105000020D17F000001000000010200000002000000434FB98E7CBC214170B2760EDD6C57418046545FB6BC2141BB16DE1CDF6C5741,70117,UYMOMVD_SN_1682,PASAJE INTERNO,IDE,MONTEVIDEO,MONTEVIDEO
